Medicine Name,Price
Aceclo-MR Tablet,95
AB-Flo Capsule,180.85
Aerocort Inhaler,301.14
Ascoril Plus Expectorant,209
Anxit 0.25mg Tablet,24
Amaryl 1mg Tablet,124.32
Acemiz-S Tablet,126.95
Avanair 100 Tablet,242
Ambrodil-Plus RF Syrup,97.85
Amlip 5 Tablet,27.99
Aricep-M  Forte Tablet,220
Amikacin Sulphate 500mg Injection,11.87
AB-Flo SR Tablet,270
Aldactone 50 Tablet,73.35
Alerid Syrup,22.17
Ano Metrogyl Cream,133.49
Acivir Cream,72.53
Azoflox UTI Tablet,135
Adrenaline Tartrate Injection,14.52
Azmarda 50mg Tablet,609.56
Amaryl 2mg Tablet,194.54
Allercet-DC Tablet,80
Amifru 40 Tablet,12.35
Augmentin 375 Tablet,251.85
Amaryl M  1mg Tablet PR,267.11
Aztolet  10 Tablet,204
Ampoxin 500 Capsule,107.35
Alex-L Cough Syrup Mango,138
Amlodac 5 Tablet,84
Amlong Tablet,37.46
Arney 50 Tablet,275.5
Alaspan AM Tablet,108.66
Avil Injection,6.16
Alkof DX Syrup,120
Amantrel Tablet,244.49
Ace Proxyvon Tablet,79.75
Amaryl M  2mg Tablet PR,399.66
Amlovas 5 Tablet,42
AF 150 Tablet DT,12.8
Acenac-P  Tablet,61
Advent 228.5mg Dry Syrup,135.07
Aquazide 12.5 Tablet,11.64
Asthakind-DX Junior Syrup Cherry,66.55
Alex Syrup Sugar Free,141
Acogut 300 ER Tablet,465.05
Alerid-D Tablet,57.97
Atorlip-F Tablet,403.42
Alerid Tablet,21.05
Avamys Nasal Spray,444.9
Acenac-MR Tablet,235
Ampilox Capsule,166.45
Ambrolite-S Expectorant,116
Arnicor 50 Tablet,200
Aldosmin 1000mg Tablet,260
Abevia-N Tablet,167.5
Altonil 3mg Tablet,82.04
Amrox-LS Syrup,75
Acitrom 1 Tablet,320.33
Ascoril C  Syrup,190.5
A Kare Combipack,595
Alkof Syrup,93
Abhayrab Vaccine,397.62
Azikem 500mg Tablet,79.16
Asomex 2.5 Tablet,105.2
Alkof Cofgel  Tablet,28
Apresol Tablet,88.97
AF 400 Tablet,28.7
Aten 50 Tablet,34.14
Angiplat 2.5 Capsule TR,177
Aldosmin 500mg Tablet,150
Amlosafe 3D Tablet,73.5
Ascoril SF Expectorant,147.5
Aceclo Sera 100mg/325mg/15mg Tablet,115
Aquaviron Injection 1ml,194.49
Abiways Tablet,167.5
Air-M Tablet,69
Anafortan Syrup,111.9
Azulix 1 MF Tablet PR,165.85
Andre I-Kul Eye Drop,88.5
Asthalin 4 Tablet,6.38
Ascoril LS Junior Syrup,115
Aciclovir 400 Tablet,67.42
Azibact 500 Tablet,131.93
A-Ret 0.1% Gel,195
Alkasol Oral Solution Sugar Free,134.23
Alfusin Tablet PR,328.53
Ajaduo 25mg/5mg Tablet,861
Acutret 20 Capsule,289
Actibile 300 Tablet,458.9
Algiduo Oral Suspension,155
Acivir 800 DT Tablet,210.89
Alerfix Total Tablet SR,287.95
Amaryl MV 2mg Tablet SR,234.75
Azithral 100 Liquid,55.5
Addnok Sublingual tablet,80
Andial 2mg Tablet,25.4
Admenta 10 Tablet,210
Azithral XL 200 Liquid,114.24
Ambrolite D Syrup,129
Aprezo 30mg Tablet,309
Ascabiol Emulsion,104.88
Allegra Nasal Spray,436
Ache X Tablet,42.5
Advent Forte 457mg Syrup Tangy Orange,263.53
Ace-Proxyvon CR Tablet,157.5
Ascoril Expectorant,142
Alupent 10mg Tablet,52.5
Aquaviron 40mg Capsule,212.96
AD 100mg Capsule,136.75
ATM 500 Tablet,131.94
Amtas 5 Tablet,84
Aziwok 500 Tablet,131.9
Alivher Tablet,236.48
Angicam-Beta Tablet,38
Alzolam 0.5 Tablet,44
Amlopres TL Tablet,134.16
Alsita-MP 500 Tablet SR,169
Actapro OD Tablet,404
Amlosafe 5 Tablet,24.98
Actapro Tablet,120
Ascoril Plus Expectorant,147
Aciclovir 800 Tablet,325
Azithral 250mg DT Tablet,116.36
Aroraft Oral Suspension Mint Sugar Free,199
Aztor 40 Tablet,324.07
Acuvin Tablet,250.42
Althrocin 250 Tablet,62
Arip MT 5 Tablet,142.3
Assurans Tablet,200
Alkacitral Liquid,122.45
Acitrom 3 Tablet,582.79
Allercet Cold Tablet,84
Arnipin 50 Tablet,383.45
Amlopres 5 Tablet,84
Ambrolite Syrup,89
Amox 500mg Capsule,60.48
Advent 625 Tablet,204.84
Almox-CV 625 Tablet,122.91
Aerocort Rotacap,125.78
Aten 25 Tablet,30.65
Asthalin Respirator Solution,11.42
Ablung N Tablet,209.65
Amlovas-AT Tablet,128
Amoxyclav 375 Tablet,392.61
Anorelief Cream,180
Aztor 20 Tablet,210.84
Avil 50mg Tablet,13.32
Atropine Sulphate Injection,11.25
Alburel 20gm Solution for Infusion,8057.75
Ambulax Tablet,111
Almox 500 Capsule,123.48
Amlip AT Tablet,79.86
Azulix 2 MF Tablet PR,240.75
Aztor Asp 75 Capsule,46
Augmentin ES Oral Suspension,223.6
Alday 10mg Tablet,21.05
Arpizol 5 Tablet,101
Airz FB Inhaler,820
Alkof Junior Syrup,108
Addna Tablet,60
Amlong Tablet,84
Amodep AT Tablet,38.5
Axepta 10 Tablet,117.5
Acenext P 100mg/325mg Tablet,63.5
Atorva 80 Tablet,454.49
Atropine 1% Eye Drop,20.6
Asthakind-LS Junior Expectorant,80.52
Akt 3 Kit,20.15
Alsita M 50mg/500mg Tablet ER,97.5
Augpen LB 625 Tablet,225
Almox 250 Capsule,24.72
Amitryn 10 Tablet,25.5
Azee 100mg Dry Syrup Peppermint,50.46
Allegra Nasal Duo Spray,481
Abevia 200 SR Tablet,198
Acnesol Gel,104
Atorlip 10 Tablet,82.99
Atormac CV10 Capsule,203
Acuclav 625 Tablet,189.12
Augpen -DS Suspension,164.5
Amlosafe-AT Tablet,68
Axogurd-SR Tablet,201.5
Azathioprine 50mg Tablet,104.27
Alkaliser Syrup,45
Amaryl MV 1mg Tablet SR,185.22
Alex-L Cough Syrup Mango Sugar Free,138
Acenac-SP Tablet,121
Atchol 10 Tablet,24.71
Aeromont-B Tablet,107.5
Atorfit CV 10 Capsule,342
Alfusin D Tablet ER,597.34
Arip MT 10 Tablet,105.5
Ambrodil Drop,39.95
Avas 10 Tablet,165.98
Arcalion Tablet,217.8
Alzolam 0.25 Tablet,21
Althrocin Liquid,65
Azilide 500 Tablet,131.93
Atchol-F Tablet,114
Arbitel-Trio 50 Tablet ER,159
Apigat 2.5 Tablet,720
Akurit-3 Tablet,75.6
Aztolet  20 Tablet,270
AB Phylline Capsule,265.5
A-Ret 0.025% Gel,120
Aerodil Expectorant,130.3
Acamprol Tablet,114
Adalene Nanogel Gel,369
Alex LS Expectorant,129
Almox-CV 625 Tablet,204.85
Asthalin AX Syrup,115.13
Azithromycin 500mg Tablet,70
Alcofix-Gold Tablet,350
Asomex 5 Tablet,156.2
Amlo 5mg Tablet,24.4
Air 180 Tablet,64
Aquim PF Eye Drop,635
Allercet Tablet,21.05
Actrapid HM Penfill (3ml Each),385.99
Arnoza 50 Tablet,199
Alkacip Syrup 100ml for Kidney & Gout Stone,84.7
Augpen 625 BID Tablet,204.96
Apdrops Eye Drop,201
Algisod Oral Liquid Peppermint,125
Acitrom 4 Tablet,621.77
Acivir 200 DT Tablet,85.23
Ascoril Flu Syrup,95.5
Apdrops LP  Eye Drop BAK Free,228
Alzil-M 5 Tablet,211
Albendazole 400mg Tablet,7.88
Arip MT 2 Tablet,96.9
Axcer  90mg Tablet,3771
Allercet-M Tablet,180
Aziderm 15% Gel,283
Azoran Tablet,236.25
Apigat 5 Tablet,855
Avanext 100mg Tablet,412.6
Amlopin 5 Tablet,28
Arbitel 40 Tablet,67.53
Amnurite  5 mg/1500 mcg Tablet,152.6
Apixator 5 Tablet,164.5
Antipreg Kit,390.16
Atonide Gel,148
Atarax SR Tablet,210
Amlong MT 50 Tablet PR,97
Aziderm 20% Gel,322
Amlogard 5mg Tablet,74.93
Amlong 10 Tablet,91.39
Amaryl M Forte 2mg Tablet PR,276.3
Amlong 2.5 Tablet,30.07
Aceclo Tablet,56
Add Tears Lubricant Eye Drop,137.76
Aceloflam Plus Tablet,63
Amicon 10 Tablet,26.5
Ascovent -SR Tablet,259
Amlong-A Tablet,159
Apixator 2.5 Tablet,132
Aceclo SR Tablet,84.6
Aciloc Injection,6.6
Amrolstar Nail Lacquer,482.55
Aciclovir Cream,72
Amtas-AT Tablet,155
Airz-FF Capsule,585.5
Azithro 250mg Tablet,57.08
Asthakind-LS Drop,66
Amoxycillin 250mg Tablet,15
Alensol-D Tablet,275
Arbitel-Trio 25 Tablet ER,118
Anafortan Injection,36.22
Amtas-M 50 Tablet PR,223.5
Allegra 120mg Tablet,150
Abiways Tablet,262.5
Amlokind-L Tablet,76.45
Abd Plus Tablet,44.5
Amrolstar Cream,285.06
Amitop 10 Tablet,26.32
Ascodex LS Expectorant,118
Angiwell 2.6mg Tablet,239.05
All 9 NVP Tablet,189.18
Azibact LR 100 Readymix,94.2
Azax 250 Tablet,78.22
Abevia 100 Capsule,104.5
Addwize 10mg Tablet,155
Akilos-SP Tablet,52.1
Aztogold 20 Capsule,102
Avanair 200 Tablet,352
Arpizol 10 Tablet,169
Acutret 10 Capsule,205.5
Aqsusten  50 Injection,212
Atarax 25mg Injection,24.67
Ascodex D Syrup,141
Alphadol 0.25mcg Capsule,119.9
Anabel Liquid Gel,109
Amlovas H  Tablet,117
Amaryl M Forte 1mg Tablet PR,232.42
Ambulax M Tablet,98
Altonil 5 Tablet MD,159.68
Asthakind-DX Syrup Sugar Free,102.5
Azopt Opthalmic Suspension,596
Amixide Tablet,34
Amnurite  10 Tablet SR,170.1
Altraz Tablet,810
Adilip 135 Tablet DR,222
Ajaduo 10mg/5mg Tablet,788
Amoxyclav Oral Suspension,60.48
Acimol 100 mg/325 mg Tablet,35
Atorva Asp 75 Capsule,48.78
Amitone 25mg Tablet,27.88
Atocor 10 Tablet,82.9
Azifast 500 Tablet,70.62
Apidra 100IU Cartridge (3ml Each),761
Alfusin T 5 Tablet ER,350
Acceclowoc-P Tablet,66
Alsita 100mg Tablet,108
Arpizol 2mg Tablet,76
Aculip H 12.5 mg/5 mg Tablet,88.55
Azicip 250 Tablet,106
Anticold  Tablet,21.16
Ambrodil Tablet,30.75
Antacid Tablet,2
Amlong-H Tablet,126
Avomine 25mg Tablet MD,24.58
Anawin Heavy Injection,33
Azulix 1 Tablet,41.43
Advent 91.4mg Drops Tangy Orange,128.01
Amlosafe TM 40 Tablet,89.67
Acamptas 333 Tablet,106.5
Aerocort Forte Rotacap,115.13
Aldigesic MR Tablet,100
Ambrodil-D Syrup,97
Atorva F Tablet,107
Alzil 5 Tablet,135.52
Aginal-AT Tablet,102.3
Amrox Syrup,100
Asthalin Plus Expectorant,104.67
Ancool  Oral Suspension Sugar Free,139.4
Alkem Amoxicillin 250mg Capsule,104.06
Azithral Eye Ointment,160
Atenolol 50mg Tablet,28.5
Altonil 10 Tablet,252.23
Axalin  Expectorant,63.59
Ambrodil-LX Drop,62
Alex Oral Drops Orange,74.5
Ambrodil-D Syrup Sugar Free,97
Aceclo Spas Tablet,137.8
Amlovas-M 5/50 Tablet PR,146
Acenac-P  Tablet,99
Aspirin 300mg Tablet,2
Azimax 500 Tablet,131.93
Anaflam TH  4  Tablet,197.1
Amicobal 10mg/1500mcg Tablet,165
Acimol Forte 100mg/325mg/15mg Tablet,85
Aldonil Tablet,182.5
Aricef O 200mg Tablet,109.42
Alendrate 70mg Tablet,75
Acera-D Capsule SR,143.2
Alkamax MB Alkamax MB6 Oral Solution,216
AB Phylline Syrup,178
ALERGIN L TABLET,45
Alex P Syrup,107
Asthalin Rotacaps,21.62
Acceclowoc-SP Tablet,133
Atorfit CV 20 Capsule,437
Amlokind-H Tablet,42.35
Aprecap 125/80 Capsule,1200
Apdrops PD Eye Drop,47.85
Alsita-M 100 Tablet ER,141
Azmarda 100mg Tablet,828.14
Amicline Plus Tablet,92.5
Aldactone 100 Tablet,255.25
Aprezo 10 Tablet,95
Azoran 25 Tablet,190
Ambrolite Levo Syrup,107
Atchol-ASP Capsule,52
Allercet-M Syrup,111
Airz Capsule,588
Avas 40 Tablet,216.04
Acotibien 100mg Tablet,209
Ascodex Junior Syrup,83.5
A-Ret 0.05% Gel,154
Anti D Rho 300mcg Injection,1857.97
Aspisol 75 Tablet,13.55
Asthakind Tablet,38.54
Amoxy 500mg Capsule,55
Aqsusten  25 Solution for Injection,123
Arbitel-AM Tablet,156
Acupat Ophthalmic Solution,239.63
Albucel 20% Infusion,6600
Atorlip 20 Tablet,210.84
Amitriptyline Hcl 25mg Tablet,10
Abiways-M Tablet SR,200
Anxiset 0.5 Tablet,86.5
Arnicor 100 Tablet,300
Ambistryn-S 0.75gm Injection,9.46
Akilos-P Tablet,27.3
Ativan 2mg Tablet,93.75
Amrox Junior Syrup,75
Acrotac 25mg Capsule,1570
Alprax Forte 0.5 mg/50 mg Tablet,109.5
Avas CV 10 Capsule,130
Acimol MR 100mg/325mg/250mg Tablet,65
Almefkem Spas 10mg/250mg Tablet,53
Arimidex 1mg Tablet,3435
Asomex-AT Tablet,210.6
Alconol 500mg Tablet,43.91
Anacin Tablet,22.5
Ampilox DS Tablet,235.05
Aztor 80 Tablet,681.57
Antiblue 10mg Tablet,35
Alphacept 8 Tablet,481.55
Aminophylline 250mg Injection,20.04
Amoxible-CL 625 Tablet,100
Arachitol 3L Injection,320.64
AF 200 Tablet,16.2
Acidose 500mg Tablet,43.5
Aquim T Eye Drop,491
Atonide-H Cream,210
AF-K Lotion,224
Abel 40 Tablet,153.3
Acemyoset Tablet SR,239
Amantex Tablet,236.5
Antidep 25mg Tablet,17.35
Alex Cough Lozenges Sugar Free,121
Aqualube Eye Drop,137.75
Atonide Cream,230
Azeflo FT Nasal Spray,577.7
Alcros 100 Capsule,186.12
Alphagan Z Ophthalmic Solution,533
Ampilin 500mg Capsule,86.06
Aztogold 10 Capsule,68
Abzorb Antifungal Soap,145
Algesia CR 200mg/20mg Capsule,133
Akair LC Syrup,120.89
Actilyse 50mg Injection,49899
Acnicin Gel,232.35
Atetor 20 Tablet,107
Alex Plus Paediatric Oral Drops,80
Anxipan Capsule,147
Azee XL 200mg Dry Syrup Peppermint,114.57
Amlosafe MT 50 Tablet PR,90
Amoxyclav DS Syrup,60.48
Advanced LCF Kid Expectorant,62.45
Alight Plus Gel 15gm for Acne Treatment,145
Aquazide 25 Tablet,19.48
Acotrust  Tablet,198
Amlopres AT 25 Tablet,121.57
Anafortan-MF 50mg/250mg Tablet,102.39
Asthalin 2 Tablet,5.37
Altonil 5mg Tablet,159.68
Ascodex Plus Syrup,34.07
Altonil Plus 10 Tablet,118
Allrite DC Tablet ER,140.7
Aplazar Tablet,390
Arcolane 2% Scalp Solution,449
Ambrodil-XP Syrup,129
Alastin 10mg Tablet,49
Afdura Tablet ER,360
Acnesol A Nano Gel,225
Alkof LS Syrup,99
Anafortan N 100 mg/50 mg Tablet,92.58
Airz-FB Capsule,546.5
Atocor 40 Tablet,324
Anafortan Drop,69.12
Amitone Plus Tablet,45
Androgel,90
Acrotac 10mg Capsule,792
Apigy 2.5 Tablet,150
Alcipro 500mg Tablet,42.45
Alamin Injection,149.3
Air 120 Tablet,53
Acivir 500 Infusion,591.81
Acitrin 25mg Capsule,614.68
Atormac 10 Tablet,55.32
Arnicor 200 Tablet,400
Anosum Cream,98
Acimol-SP Tablet,65
Acivir Cream,161.05
Azee 500 Tablet,79.16
Aceloflam SP Tablet,120
Alkashot B6 Oral Solution Delicious Pineapple Sugar Free,211.75
Arbitel-Trio 50 Tablet ER,238.5
Aristomol 650 Tablet,20.05
Aristomol 650 Tablet,20.05
Alaspan AG Syrup,147.3
Amcard 5 Tablet,15.75
Antiflu 12mg/ml Syrup,841.47
Acular LS Ophthalmic Solution,155.15
Aceflam P 100mg/325mg Tablet,63.5
Amicline Tablet,13
Avas 20 Tablet,421.68
Azelast Nasal Spray,85
Altacef 500 Tablet,576.02
AZR Tablet,118.13
Aravon Injection,823
Arifine 2.5 Tablet,49
Ata Mont 20mg/10mg Tablet,108.9
Aquasurge  Eye Drop,137.65
Atchol 20 Tablet,57.06
Alertriz 5mg Tablet,32
Anaspas Tablet,92.49
Alciflox 500mg Tablet,45.29
Acefen SP Tablet,61.02
Aricep 23 SR Tablet,421
Acecloren Tablet,121
Anfoe 10000IU Injection,2204
Arnisac 50 Tablet,202
Adaple-C Gel,298
ACTION OR 1000mg Tablet,42.3
Alsita-MP 1000 Tablet SR,185
Addphos Granules,24.5
Antoxid E Softgel Capsule,239.5
AD 10mg Sachet,14.5
Amiject 500mg Injection,110
Amlosafe-AT Tablet,115
Alcarex Eye Drop,287
Allercet FX Tablet,180
Acnedap Gel,481.85
Accentrix Solution for Injection,23960
Alerid Cold Tablet,72.05
Acegrow 3D Tablet,231
Amodep 5 Tablet,15.55
Amicet Plus Tablet,50
Aldigesic TH 100mg/4mg Tablet,275
Amlokind 10mg Tablet,35.87
Atchol 40 Tablet,107.88
Acolate Plus Tablet,53.5
Avanext 200 Tablet,733.7
Atorva Gold 20 Capsule,128.25
Amodep AT Tablet,46.5
Ambulax-ET Tablet,60
Aerodil-DX Syrup Raspberry Sugar Free,111.1
Ambrolite 2S Expectorant,114
Avas Gold 75mg/20mg/75mg Capsule,69
Ambizyme Tablet,102
Airz-F Capsule,415
Anxit Plus 0.5 mg/25 mg Tablet,95
Amoxil 250mg Capsule,20
AB-Next Gel,465.15
Anomed L Cream,149.66
Asthalin 2 Tablet,8.56
Avas CV 20 Capsule,148
Amaryl 3mg Tablet,530.48
Asprin Tablet DT,159.62
Amplinak Ophthalmic Suspension,351.1
Axonet 150mg Tablet,249
Azoran 75 Tablet,179.9
Akt 2 Tablet,125.2
Allercet Cold Syrup,84
Astymin-SN Infusion,645
Acenac Tablet,50
Asthalin DX Syrup,96.62
Acnetor AD Gel,375
Amicet 5 mg/60 mg Tablet,49
Atorlip Gold 20 Capsule,71.41
Azulix 2 MF Forte Tablet PR,249.85
Alkof Syrup Orange,63
Arbitel-MT 50 Tablet ER,141
Aristogyl 400 Tablet,15.23
Alcet 5mg Tablet,91
Atorva 5 Tablet,141.6
Abixim 200mg Tablet,104.85
Altiva 120mg Tablet,202
Amitax 500mg Injection,119
Actibile 150 Tablet,236.8
Arney 100 Tablet,418.6
Albrim T Eye Drop,148.9
ATM 250 Tablet,130.37
Azipro 500 Tablet,71.33
Amifru Plus Tablet,96
Angispan-TR 6.5mg Capsule,304.2
Arvast 10 Tablet,267
Axogurd Plus Tablet SR,220
Alerfix-M Tablet,277.15
Alfakit Tablet,373
Acnovate Gel,288.8
Armod 50 Tablet,195.15
Ascoril Plus LS Expectorant,98.5
Actoid 25mg Capsule,675
Althrocin 100mg Drop,55.85
Atorva Gold 10 Capsule,94.87
Aristokof DM + Syrup,135
Amitryn 25 Tablet,27.7
AB-Resp Tablet,79
Azivent 500 Tablet,119.37
Abaxis 2.5mg Tablet,450
Asthalin Rotacaps,63.29
Apresol Plus Tablet,101.1
Arnipin 100 Tablet,383.9
Amlokind Beta 5mg/25mg Tablet PR,68.2
Aceclo SP 100mg/325mg/15mg Tablet,117
ATM 100 Oral Suspension,50
Augpen HS 200 mg/28.5 mg Suspension,67.87
Amlip 10 Tablet,60.92
Amlopres 2.5 Tablet,30.07
Advastat 10 Tablet,139
Ambrican 5 Tablet,2619.55
Aldep 10mg Tablet,24.08
Alprasafe 0.5mg Tablet,1.68
Anabel-CT Gel,105
Alex Junior DS Syrup,98
Amlodac AT Tablet,233.1
Acnesol-NC Gel,109
Anthocyn-TX Tablet,324.5
Aerodil-LS Expectorant,129.5
Amnurite Beta 10/40 ER Tablet,66.4
Artificial Tears BP Eye Drop,50
Aromox-CV 625 Tablet,113
Asthalin 4 Tablet,10.58
Asthakind Expectorant Sugar Free,102.48
Azulix 3 MF Tablet PR,102.75
Alsita 50mg Tablet,84.5
Actrapid 100IU/ml Flexpen (3ml Each),569.82
Anasure 5% Solution,910
Azibact 200 Readymix Oral Suspension,57.12
Amoxil 250mg Tablet DT,17.96
Atorlip 40 Tablet,216.16
Azi 500mg Tablet,72
Alkem Piroxicam Injection,7.5
Amnuring 5 Tablet SR,146.06
Airz-F Digihaler,622
Amlodac 2.5 Tablet,60.14
Amoxycillin 125mg Oral Suspension,7.5
Atarax Syrup Delicious Strawberry,121.25
Apdrops DM Eye Drop,183.5
Azee 1000 Tablet,64.7
Amyclox-LB Capsule,164.2
Alzero M Tablet,104.5
Amrox-LS Syrup,110
Acivir Eye Ointment,58.11
Atorva Gold 40 Capsule,110
Amrox-LS Junior Syrup,75
Amlong MT 25 Tablet PR,65
Aloja-M Tablet,525.5
Acetik Ear Drop,166
Azithral-XL 100 Liquid,114.24
Agna 25000 Capsule DR,724.25
Asmotone Plus Syrup,95
Aztor EZ Tablet,262
Amlosafe 5 Tablet,42
Alkasol Oral Solution Sugar Free,229.66
Amlozaar Tablet,166
Absenz Syrup,485
Ampanel 4 Tablet,158
Aqua Ear Drop,35
Amlokind 2.5 Tablet,36.66
Adiff Gel,189
Aceclowal SP 100mg/325mg/15mg Tablet,78.5
Aziwok 250 Tablet,130.3
Amlozaar-H Tablet,143
Aten AM Tablet,167.8
Aloatm 5% Solution,775
Allercet-L Tablet,59
Aldonil OD Tablet,309.85
Azibact LR Readymix 200,114.24
Alevo 500 Tablet,100.69
Aclind BP 2.5% Gel,236
Axogurd NT Tablet SR,214.9
Avoprost D 8mg/0.5mg Capsule,414
Atracurium Besilate Injection,185.31
Agycin 500mg Tablet,56.4
Anti-Thyrox 10 Tablet,477.12
Alertac M 20mg/10mg Tablet,69.9
Azulix 2 Tablet,64.84
Anxipam 0.5mg Tablet MD,27
Arophyll HD 10mg/120mg/200mg Tablet,219
Aminowel Infusion,657
Ascoril Plus Tablet,58
Azapure Tablet,118.2
Alfoo-D Combipack,358.25
Aggramed 5mg Infusion,7468.4
Acivir 400 DT Tablet,152.88
Amlopres-AT Tablet,302.76
Atocor-F Tablet,519.75
Arzep Nasal Spray,519.5
Azithral JR Oral Suspension,28.56
AZ 500mg Tablet,220.5
Amlopin-AT Tablet,94
Acotrust  OD 300mg Tablet ER,423.5
Acocontin Tablet CR,235
Alcoliv Tablet,195
Azulix MV 2mg/500mg/0.3mg Tablet SR,199.55
Apraize 20 Tablet,116.05
Acuvert Tablet,73.52
Azovas T 40 Tablet,186.07
Agna 10000 Capsule DR,310
Alcros 200 Capsule,247.74
Abiways 200 SR Tablet,190
Acolate Tablet,39
Alkamed Syrup,101
Alzil-M 10 Tablet,278
Advent 228.5mg Dry Syrup Tangy Orange,67.87
Alnitro 2.6 Tablet CR,218
Arnisac 100 Tablet,488.6
Azibest 500mg Tablet,63
Alrista SR Tablet,169.4
Altacef Suspension,177.41
Axcet M Tablet,69.8
Alsita-M 50 Forte Tablet ER,108
Anset 4mg Tablet MD,49
Aceret 25 Capsule,713.58
Asthakind-LS Expectorant Cola Sugar Free,77
Agmamol 500mg Tablet,14
Amlopin-M Tablet PR,130.25
Axcer  60mg Tablet,410
Arbitel-MT 25 Tablet ER,127
Arflur 3D Tablet,78.5
Apraize 10 Tablet,87
Aldactone T 10 Tablet,97.7
Anaero Gel,180
Anti-Thyrox 5 Tablet,244.87
Arflur-P Tablet,45.65
A Ret HC Cream,180
Apixapil 2.5mg Tablet,82.5
Akurit Tablet,24.5
Aztor 5 Tablet,126
AB-Flo Capsule,271.25
Apresol Tablet,291.28
Amitrip 10mg Tablet,24.08
Amlovas 10 Tablet,91.39
Albutamol Neo Syrup,95.4
Azeldip 16 Tablet,167.5
Apdrops KT 0.4 Eye Drops BAK Free,201
Apdrops KT 0.4 Eye Drops BAK Free,201
Astin CV 10 Capsule,121
Acegaba NT 400mg/10mg Tablet,441.75
